objectid,borough,maintainer,gla_tree_name,tree_name,taxon_name,common_name,age,age_group,height_m,spread_m,canopy_spread_group,diameter_at_breast_height_cm,dbh_group,longitude,latitude,condition,load_date,updated
812147,Newham,Newham,Horse chestnut,Horse chestnut,Aesculus hippocastanum,Horse chestnut,,,,,,,,0.05875329,51.51116119,,20180214,20210715
812148,Newham,Newham,Plane,Plane,Platanus x hispanica,London plane,,,,,,,,0.03875612,51.52440697,,20180214,20210715
812149,Newham,Newham,Plane,Plane,Platanus x hispanica,London plane,,,,,,,,0.03861287,51.52442744,,20180214,20210715
812150,Newham,Newham,Plane,Plane,Platanus x hispanica,London plane,,,,,,,,0.03851284,51.52444717,,20180214,20210715
812151,Newham,Newham,Plane,Plane,Platanus x hispanica,London plane,,,,,,,,0.0383836,51.52445841,,20180214,20210715
812152,Newham,Newham,Plane,Plane,Platanus x hispanica,London plane,,,,,,,,0.03825476,51.52447863,,20180214,20210715
812153,Newham,Newham,Plane,Plane,Platanus x hispanica,London plane,,,,,,,,0.03803949,51.52450036,,20180214,20210715
812154,Newham,Newham,Plane,Plane,Platanus x hispanica,London plane,,,,,,,,0.03730886,51.52460298,,20180214,20210715
812155,Newham,Newham,Plane,Plane,Platanus x hispanica,London plane,,,,,,,,0.03720883,51.5246227,,20180214,20210715
812156,Newham,Newham,Plane,Plane,Platanus x hispanica,London plane,,,,,,,,0.0375734,51.52503902,,20180214,20210715
812157,Newham,Newham,Plane,Plane,Platanus x hispanica,London plane,,,,,,,,0.03764783,51.52509169,,20180214,20210715
812158,Newham,Newham,Plane,Plane,Platanus x hispanica,London plane,,,,,,,,0.03887095,51.52439598,,20180214,20210715
812159,Newham,Newham,Plane,Plane,Platanus x hispanica,London plane,,,,,,,,0.03897138,51.52438524,,20180214,20210715
812160,Newham,Newham,Plane,Plane,Platanus x hispanica,London plane,,,,,,,,0.03915784,51.52436402,,20180214,20210715
812161,Newham,Newham,Plane,Plane,Platanus x hispanica,London plane,,,,,,,,0.03906142,51.52446461,,20180214,20210715
812162,Newham,Newham,Plane,Plane,Platanus x hispanica,London plane,,,,,,,,0.038949,51.52452951,,20180214,20210715
812163,Newham,Newham,Whitebeam,Whitebeam,Sorbus aucuparia,Mountain ash,,,,,,,,0.03414636,51.5278134,,20180214,20210715
812164,Newham,Newham,Ash,Ash,Fraxinus excelsior,Ash ,,,,,,,,0.03479618,51.52774008,,20180214,20210715
812165,Newham,Newham,Cherry,Cherry,Prunus x kursar,Cherry,,,,,,,,0.0104575,51.53438269,,20180214,20210715
812166,Newham,Newham,Cherry,Cherry,Prunus x kursar,Cherry,,,,,,,,0.0104489,51.53438374,,20180214,20210715
812167,Newham,Newham,Plane,Plane,Platanus x hispanica,London plane,,,,,,,,0.0076844,51.53542387,,20180214,20210715
812168,Newham,Newham,Cherry,Cherry,Prunus x kursar,Cherry,,,,,,,,0.01048144,51.53436969,,20180214,20210715
812169,Newham,Newham,Cherry,Cherry,Prunus kanzan,Cherry,,,,,,,,0.00837981,51.53503967,,20180214,20210715
812170,Newham,Newham,Birch,Birch,Betula pendula,Birch,,,,,,,,0.00841901,51.53507857,,20180214,20210715
812171,Newham,Newham,Cherry,Cherry,Prunus kanzan,Cherry,,,,,,,,0.00831606,51.53516396,,20180214,20210715
812172,Newham,Newham,Ash,Ash,Fraxinus excelsior,Ash ,,,,,,,,0.00828991,51.53512664,,20180214,20210715
812173,Newham,Newham,Elm,Elm,Ulmus sapporo autumn gold,Elm,,,,,,,,0.01037866,51.53462235,,20180214,20210715
812174,Newham,Newham,Elm,Elm,Ulmus sapporo autumn gold,Elm,,,,,,,,0.01007772,51.53456635,,20180214,20210715
812175,Newham,Newham,Cherry,Cherry,Prunus snowgoose (umineko),Cherry,,,,,,,,0.0624384,51.51304427,,20180214,20210715
812176,Newham,Newham,Other,Other,Prunus dulcis,Almond,,,,,,,,0.04109629,51.51258581,,20180214,20210715
812177,Newham,Newham,Apple,Apple,Malus unk species,Flowering crab,,,,,,,,0.04105228,51.51256859,,20180214,20210715
812178,Newham,Newham,Other,Other,Prunus dulcis,Almond,,,,,,,,0.04103909,51.5125958,,20180214,20210715
812179,Newham,Newham,Birch,Birch,Betula pendula,Birch,,,,,,,,0.04100908,51.51256934,,20180214,20210715
812180,Newham,Newham,Birch,Birch,Betula pendula,Birch,,,,,,,,0.04096668,51.51258807,,20180214,20210715
812181,Newham,Newham,Oak,Oak,Quercus coccinea,Oak,,,,,,,,0.04138471,51.51258978,,20180214,20210715
812182,Newham,Newham,Cherry,Cherry,Prunus x schmittii,Cherry,,,,,,,,0.04162631,51.51251364,,20180214,20210715
812183,Newham,Newham,Cherry,Cherry,Prunus unk species,Cherry,,,,,,,,0.04159992,51.51256805,,20180214,20210715
812184,Newham,Newham,Apple,Apple,Malus unk species,Flowering crab,,,,,,,,0.04158351,51.51252338,,20180214,20210715
812185,Newham,Newham,Cherry,Cherry,Prunus unk species,Cherry,,,,,,,,0.0415383,51.5124792,,20180214,20210715
812186,Newham,Newham,Apple,Apple,Malus domestica cultivar,Flowering crab,,,,,,,,0.04151191,51.51253361,,20180214,20210715
812187,Newham,Newham,Cherry,Cherry,Prunus x schmittii,Cherry,,,,,,,,0.04138793,51.51266167,,20180214,20210715
812188,Newham,Newham,Cherry,Cherry,Prunus x schmittii,Cherry,,,,,,,,0.04149034,51.51269586,,20180214,20210715
812189,Newham,Newham,Willow,Willow,Salix alba,White willow,,,,,,,,0.04142235,51.51278697,,20180214,20210715
812190,Newham,Newham,Cherry,Cherry,Prunus unk species,Cherry,,,,,,,,0.04138919,51.51301237,,20180214,20210715
812191,Newham,Newham,Cherry,Cherry,Prunus unk species,Cherry,,,,,,,,0.04149763,51.51318134,,20180214,20210715
812192,Newham,Newham,Willow,Willow,Salix unk species,Willow,,,,,,,,0.04185445,51.51310319,,20180214,20210715
812193,Newham,Newham,Willow,Willow,Salix x chrysocoma,Weeping willow,,,,,,,,0.04190368,51.51323722,,20180214,20210715
812194,Newham,Newham,Other,Other,Prunus dulcis,Almond,,,,,,,,0.04175806,51.51320378,,20180214,20210715
812195,Newham,Newham,Ash,Ash,Fraxinus excelsior,Ash ,,,,,,,,0.04207207,51.51313537,,20180214,20210715
812196,Newham,Newham,Ash,Ash,Fraxinus oxycarpa raywood,Ash ,,,,,,,,0.04207609,51.51322523,,20180214,20210715
812197,Newham,Newham,Apple,Apple,Malus unk species,Flowering crab,,,,,,,,0.04171887,51.51329439,,20180214,20210715
812198,Newham,Newham,Hawthorn,Hawthorn,Crataegus monogyna,Hawthorn,,,,,,,,0.04248133,51.51326313,,20180214,20210715
812199,Newham,Newham,Cherry,Cherry,Prunus avium,Cherry,,,,,,,,0.04250893,51.51323567,,20180214,20210715
812200,Newham,Newham,Birch,Birch,Betula pendula,Birch,,,,,,,,0.04255052,51.51319898,,20180214,20210715
812201,Newham,Newham,Cherry,Cherry,Prunus unk species,Cherry,,,,,,,,0.04256332,51.51316278,,20180214,20210715
812202,Newham,Newham,Cherry,Cherry,Prunus unk species,Cherry,,,,,,,,0.04259132,51.51314431,,20180214,20210715
